epoch,update_batch_id,sample_in_batch_id,advantage_value,policy_ratio_value,clipped_surrogate_objective_value
14,14,16,0.13088797,0.86292493,-0.112946495
14,14,17,-0.48371235,1.357543,0.6566603
14,14,18,-0.20050138,0.6539059,0.1604011
14,14,19,0.69587,0.9637265,-0.67062837
14,14,20,0.029165594,0.85516876,-0.024941504
14,14,21,-0.6782603,0.86089504,0.58391094
14,14,22,-0.96165115,0.6098672,0.7693209
14,14,23,-1.5757364,0.50032437,1.2605891
14,14,24,-1.2495944,0.796576,0.9996756
14,14,25,-1.1577623,0.8117891,0.9398588
14,14,26,-1.7864985,0.5137777,1.4291989
14,14,27,-1.8713568,0.59681046,1.4970855
14,14,28,-0.5134868,0.67829394,0.41078946
14,14,29,-0.9178026,0.80895746,0.74246323
14,14,30,0.29030275,1.2316167,-0.3483633
14,14,31,0.52913773,1.2453952,-0.6349653
14,14,32,0.72807485,1.2857955,-0.87368983
14,14,33,0.9998984,1.2483959,-1.1998781
