Price,Close,High,Low,Open,Volume
Ticker,XLRE,XLRE,XLRE,XLRE,XLRE
Date,,,,,
2018-07-10,26.37539291381836,26.37539291381836,26.407235329024985,26.112672488954754,26.263936868221485,3077300
2018-07-11,26.29578399658203,26.29578399658203,26.423162791087833,26.2519972512566,26.351512029368944,2347300
2018-07-12,26.35947036743164,26.35947036743164,26.40723550904193,26.22412871332034,26.35947036743164,1660700
2018-07-13,26.271902084350586,26.271902084350586,26.474913087166595,26.25597935501697,26.375398306544053,2142700
2018-07-16,26.12859535217285,26.12859535217285,26.24005139835472,25.948674316750548,26.160440804496094,2759100
2018-07-17,25.953449249267578,25.953449249267578,26.2002469574116,25.921606832853502,26.136559087633856,1720400
2018-07-18,25.857913970947266,25.857913970947266,26.017138188776677,25.730535204073608,25.913641991645157,2092200
2018-07-19,26.104707717895508,26.104707717895508,26.22014518246384,25.762376764196016,25.81014189646643,2363400
2018-07-20,25.873838424682617,25.873838424682617,26.088790677567772,25.786264947179454,26.04102249794344,2041700
2018-07-23,25.80218505859375,25.80218505859375,25.86587595830427,25.645350925327943,25.86587595830427,2796900
2018-07-24,25.730533599853516,25.730533599853516,25.889757807755785,25.587232116436393,25.786261617076935,2104200
2018-07-25,25.98529815673828,25.98529815673828,26.029084901696294,25.730540569864374,25.746463298662743,2608800
2018-07-26,26.07286834716797,26.07286834716797,26.192287279568426,26.009177440034495,26.009177440034495,2256900
2018-07-27,25.834028244018555,25.834028244018555,26.156455043930922,25.810941357829364,26.152473603810687,2666300
2018-07-30,25.810144424438477,25.810144424438477,25.88577660720628,25.62703764658675,25.857912598336437,2941100
2018-07-31,26.311702728271484,26.311702728271484,26.383353479105278,25.96937170061554,26.0091769984233,4027300
2018-08-01,26.486848831176758,26.486848831176758,26.518694283178675,25.993256472944893,26.112672362527892,3776600
2018-08-02,26.35947036743164,26.35947036743164,26.522672996182614,26.310110827338047,26.383352938236786,2963100
2018-08-03,26.701805114746094,26.701805114746094,26.73762897595362,26.35151116365073,26.375396774739,2721000
2018-08-06,26.646076202392578,26.646076202392578,26.80529740731476,26.59034817327985,26.72568680485367,2860800
2018-08-07,26.59034538269043,26.59034538269043,26.805294594166966,26.43908100215943,26.725684000060806,2122400
2018-08-08,26.423158645629883,26.423158645629883,26.63015105232109,26.39529463360794,26.63015105232109,2437300
2018-08-09,26.470924377441406,26.470924377441406,26.56645769026232,26.407233477594627,26.4311190835118,1937500
2018-08-10,26.216171264648438,26.216171264648438,26.526656861289162,26.200248537006633,26.42316065009233,2656000
2018-08-13,26.208208084106445,26.208208084106445,26.2957815666649,26.152480056469198,26.216170966311616,1652300
2018-08-14,26.311702728271484,26.311702728271484,26.371412193457903,26.20024667962993,26.263937585681994,1559100
2018-08-15,26.542577743530273,26.542577743530273,26.56248191093611,26.240052013268983,26.319665645942774,2608300
2018-08-16,26.749568939208984,26.749568939208984,26.773454549115172,26.518696981080783,26.534619708701655,4032200
2018-08-17,27.004322052001953,27.004322052001953,27.012284932973536,26.741604681975787,26.765487250992003,2608600
2018-08-20,27.036174774169922,27.036174774169922,27.17549485915422,26.996369469452993,27.044137657283358,1947100
2018-08-21,26.78937530517578,26.78937530517578,27.028210128012287,26.749566970578414,26.98044194866517,2117700
2018-08-22,26.62218475341797,26.62218475341797,26.77344911664906,26.510728719636628,26.77344911664906,1380300
2018-08-23,26.55849838256836,26.55849838256836,26.681895707326763,26.542575657285127,26.614226402585015,1233500
2018-08-24,26.741607666015625,26.741607666015625,26.749567510926163,26.51073268326514,26.526655410035822,3533100
2018-08-27,26.701805114746094,26.701805114746094,26.80529829397889,26.558503596016156,26.75753314570219,2515300
2018-08-28,27.028207778930664,27.028207778930664,27.028207778930664,26.630148763149503,26.701799507468085,1887900
2018-08-29,26.9884033203125,26.9884033203125,27.11578208782819,26.97248059475437,27.020245734479396,1468700
2018-08-30,26.845104217529297,26.845104217529297,27.04413374930351,26.801317477583,27.03617086734074,1730100
2018-08-31,26.948591232299805,26.948591232299805,27.02820484899526,26.86102080935823,26.87694049574837,1579300
2018-09-04,26.709760665893555,26.709760665893555,26.98044093142269,26.6540326438978,26.892867457729526,2310700
2018-09-05,26.87694549560547,26.87694549560547,26.948596245485927,26.526654627828506,26.654033401288267,3257000
2018-09-06,26.96451187133789,26.96451187133789,27.012280037662784,26.876938418216614,26.916746741961713,1960400
2018-09-07,26.62218475341797,26.62218475341797,26.8450998579298,26.59830218530744,26.83713697726019,1899000
2018-09-10,26.765491485595703,26.765491485595703,26.908792996263447,26.709763457774887,26.741608912800995,1797100
2018-09-11,26.773448944091797,26.773448944091797,26.86102240919819,26.606261857548173,26.67791259836712,1534300
2018-09-12,26.797334671020508,26.797334671020508,26.87694526489341,26.677915743261664,26.805294515628002,1388600
2018-09-13,26.96451187133789,26.96451187133789,27.03616260235087,26.837133131420227,26.900824019853417,1576500
2018-09-14,26.733644485473633,26.733644485473633,26.90082854028137,26.570438834149968,26.88490581549741,1828300
2018-09-17,26.88491439819336,26.88491439819336,26.924719704386025,26.6659806587084,26.669962100412725,2338800
2018-09-18,26.725685119628906,26.725685119628906,26.900832078338954,26.669957094030188,26.845104052740236,1451800
2018-09-19,26.470924377441406,26.470924377441406,26.74160462789171,26.427137643034058,26.73364478388549,2033100
2018-09-20,26.66995620727539,26.66995620727539,26.685878933624124,26.37539336219762,26.478886528040107,1928400
2018-09-21,26.669958114624023,26.669958114624023,26.794658288421555,26.5814600290849,26.68604588561848,1954600
2018-09-24,26.147016525268555,26.147016525268555,26.589503883431853,26.046451077094446,26.58145999794405,2862000
2018-09-25,26.122879028320312,26.122879028320312,26.279760865306645,26.093913678003847,26.147013751237104,1710600
2018-09-26,25.83324432373047,25.83324432373047,26.17114264536382,25.801062654333126,26.14700792782227,2323300
2018-09-27,25.913705825805664,25.913705825805664,26.050476441115645,25.84934553020002,25.873480257425367,1599100
2018-09-28,26.235509872436523,26.235509872436523,26.251600709519963,25.881517594627564,25.92174622184285,3145400
2018-10-01,26.034387588500977,26.034387588500977,26.306317607465907,26.01829674611699,26.235518514779244,3654400
2018-10-02,25.953927993774414,25.953927993774414,26.098742476181606,25.953927993774414,26.04242607402478,2752400
2018-10-03,25.6562557220459,25.6562557220459,26.070584862541484,25.51144123637566,25.97806637220505,2625100
2018-10-04,25.53557777404785,25.53557777404785,25.656256001920518,25.318356043172905,25.656256001920518,2934700
2018-10-05,25.54362678527832,25.54362678527832,25.70453213473647,25.50340121516735,25.567763048049184,3406600
2018-10-08,25.873476028442383,25.873476028442383,25.99013230598784,25.5597123497405,25.62407416933337,3076200
2018-10-09,25.961978912353516,25.961978912353516,26.042430050858993,25.752801041816536,25.8654369323441,4429900
2018-10-10,25.551668167114258,25.551668167114258,26.010247880227723,25.551668167114258,25.88956811995703,4361500
2018-10-11,24.80345916748047,24.80345916748047,25.624073496626124,24.74714276862853,25.599937239472386,9558500
2018-10-12,24.787364959716797,24.787364959716797,25.165491931187823,24.658641341409467,24.948270249854243,5288200
2018-10-15,24.940231323242188,24.940231323242188,25.173543901216508,24.747145845525665,24.779325991224933,3894500
2018-10-16,25.406850814819336,25.406850814819336,25.48327999112519,24.88391087252721,24.972408944202105,3272200
2018-10-17,25.334447860717773,25.334447860717773,25.483284296355876,25.149407801869646,25.374674961232788,3449400
2018-10-18,25.342493057250977,25.342493057250977,25.56373673735733,25.23790566584856,25.326402217186924,3345200
2018-10-19,25.599939346313477,25.599939346313477,25.68843742865367,25.366628312653297,25.366628312653297,2999900
2018-10-22,25.237899780273438,25.237899780273438,25.740726906211645,25.22985436211763,25.664296200984808,4269600
